WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACAD_CIP_PREVIOUS_PRODUCT_INFO", handle="8FF", group="280", value="     1"
WARNING (036140): XRECORD object group 280 unknown/not supported - ignored.
WARNING (036148): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036156): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036164): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036172): XRECORD object group 280 unknown/not supported - ignored.
WARNING (036180): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036188): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036192): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036200): XRECORD object group 140 unknown/not supported - ignored.
WARNING (036208): XRECORD object group 90 unknown/not supported - ignored.
WARNING (036216): XRECORD object group 1 unknown/not supported - ignored.
WARNING (036224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (036232): XRECORD object group 140 unknown/not supported - ignored.
WARNING (036240): XRECORD object group 140 unknown/not supported - ignored.
WARNING (037036): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037044): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037052): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037060): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037068): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037076): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037084): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037092): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037100): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037108): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037116): XRECORD object group 140 unknown/not supported - ignored.
WARNING (037124): XRECORD object group 140 unknown/not supported - ignored.
WARNING (037132): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037140): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037144): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037152): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037160): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037168): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037172): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037180): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037188): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037196): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037204): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037212): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037220): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037228): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037232): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037240): XRECORD object group 140 unknown/not supported - ignored.
WARNING (037248): XRECORD object group 90 unknown/not supported - ignored.
WARNING (037256): XRECORD object group 1 unknown/not supported - ignored.
WARNING (037264): XRECORD object group 280 unknown/not supported - ignored.
WARNING (037272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (037280): XRECORD object group 140 unknown/not supported - ignored.
WARNING (038076): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038084): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038092): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038100): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038108): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038116): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038124): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038132): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038140): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038148): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038156): XRECORD object group 140 unknown/not supported - ignored.
WARNING (038164): XRECORD object group 140 unknown/not supported - ignored.
WARNING (038172): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038180): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038184): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038192): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038200): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038208): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038212): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038220): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038228): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038236): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038244): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038252): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038260): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038268): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038272): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038280): XRECORD object group 140 unknown/not supported - ignored.
WARNING (038288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (038296): XRECORD object group 1 unknown/not supported - ignored.
WARNING (038304): XRECORD object group 280 unknown/not supported - ignored.
WARNING (038312): XRECORD object group 140 unknown/not supported - ignored.
WARNING (038320): XRECORD object group 140 unknown/not supported - ignored.
WARNING (039116): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039124): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039132): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039140): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039148): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039156): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039164): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039172): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039180): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039188): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039196): XRECORD object group 140 unknown/not supported - ignored.
WARNING (039204): XRECORD object group 140 unknown/not supported - ignored.
WARNING (039212): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039220): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039224): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039232): XRECORD object group 90 unknown/not supported - ignored.
